ID,ADDRESS,TYPE,BRANCH
1,宜蘭縣羅東鎮培英路98號100號,統一超商股份有限公司,徠一
2,宜蘭縣宜蘭市神農路二段8號10號1樓,統一超商股份有限公司,健神
3,宜蘭縣礁溪鄉礁溪路七段65號69號,統一超商股份有限公司,圓達
4,宜蘭縣宜蘭市女中路三段26-6號26-7號26-8號,統一超商股份有限公司,伍富
5,宜蘭縣羅東鎮公正路357號359號,統一超商股份有限公司,羅高
6,宜蘭縣宜蘭市大坡路二段215號217號,統一超商股份有限公司,騰豪
7,宜蘭縣頭城鎮復興路58號,統一超商股份有限公司,噶瑪蘭
8,宜蘭縣頭城鎮濱海路三段323號325號327號1樓,統一超商股份有限公司,新梗枋
9,宜蘭縣羅東鎮集翔里中正路147號,統一超商股份有限公司,集翔
10,宜蘭縣礁溪鄉中山路一段175號,統一超商股份有限公司,駿隆
11,宜蘭縣蘇澳鎮海山西路489號1樓,統一超商股份有限公司,新馬
12,宜蘭縣宜蘭市東港路一段213號1樓,統一超商股份有限公司,壯五
13,宜蘭縣五結鄉五結路三段493號,統一超商股份有限公司,羅結
14,宜蘭縣宜蘭市民權路二段38巷6號,統一超商股份有限公司,新月
15,宜蘭縣五結鄉傳藝路一段369號1樓,統一超商股份有限公司,孝威
16,宜蘭縣宜蘭市新興路68號1樓,統一超商股份有限公司,滿冠
17,宜蘭縣礁溪鄉礁溪路三段302號306號,統一超商股份有限公司,泉發
18,宜蘭縣五結鄉五結路二段393號395號397號1樓,統一超商股份有限公司,五結
19,宜蘭縣宜蘭市泰山路33之3號33之4號1樓,統一超商股份有限公司,員泰
20,宜蘭縣宜蘭市東港路30-22號,統一超商股份有限公司,馥華
21,宜蘭縣南澳鄉蘇花路二段165號1樓,統一超商股份有限公司,金玉
22,宜蘭縣宜蘭市復興路二段49號1樓,統一超商股份有限公司,新復興
23,宜蘭縣蘇澳鎮南寧路41號.42號42-1號1樓,統一超商股份有限公司,豆腐岬
24,宜蘭縣羅東鎮公正路197號,統一超商股份有限公司,羅東
25,宜蘭縣五結鄉中正路一段174號176號,統一超商股份有限公司,昱成
26,宜蘭縣礁溪鄉礁溪路四段85號87號,統一超商股份有限公司,礁溪
27,宜蘭縣礁溪鄉玉石村溫泉路15鄰85號1樓,統一超商股份有限公司,泉湧
28,宜蘭縣五結鄉中正路二段127號1樓,統一超商股份有限公司,佳美
29,宜蘭縣壯圍鄉美城村大福路三段1號5號,統一超商股份有限公司,全美
30,宜蘭縣冬山鄉冬山路100之1號,統一超商股份有限公司,冬森
31,宜蘭縣員山鄉惠民路207號,統一超商股份有限公司,深溝
32,宜蘭縣壯圍鄉中央路二段311號,統一超商股份有限公司,壯志
33,宜蘭縣礁溪鄉玉龍路二段417號,統一超商股份有限公司,金桔
34,宜蘭縣員山鄉溫泉路1之27號1之28號1樓,統一超商股份有限公司,員泉
35,宜蘭縣頭城鎮青雲路一段225號227號1樓,統一超商股份有限公司,富達
36,宜蘭縣員山鄉員山路二段264號1樓,統一超商股份有限公司,內成
37,宜蘭縣蘇澳鎮蘇濱路二段302號,統一超商股份有限公司,振盟
38,宜蘭縣宜蘭市新民路159號161號1樓,統一超商股份有限公司,省宜
39,宜蘭縣冬山鄉廣興路166號168號1樓,統一超商股份有限公司,廣達
40,宜蘭縣大同鄉泰雅路一段34號1樓,統一超商股份有限公司,泰勝
41,宜蘭縣頭城鎮青雲路三段96號1樓,統一超商股份有限公司,頭城
42,宜蘭縣冬山鄉義成路三段195號1樓,統一超商股份有限公司,永義
43,宜蘭縣蘇澳鎮福德路463號465號1樓,統一超商股份有限公司,侯成
44,宜蘭縣宜蘭市泰山路212號,統一超商股份有限公司,心蓮
45,宜蘭縣蘇澳鎮南強里蘇花路二段328號,統一超商股份有限公司,南澳
46,宜蘭縣宜蘭市舊城東路47號,統一超商股份有限公司,佳旺
47,宜蘭縣三星鄉三星路一段586號,統一超商股份有限公司,麗騰
48,宜蘭縣五結鄉五結中路二段377號379號1樓,統一超商股份有限公司,易安
49,宜蘭縣羅東鎮中正南路160號(聖母醫院內),統一超商股份有限公司,新聖母
50,宜蘭縣羅東鎮興東路23之2號1樓2樓,統一超商股份有限公司,新羅興
51,宜蘭縣冬山鄉冬山路三段249號,統一超商股份有限公司,永九
52,宜蘭縣冬山鄉長春路128號,統一超商股份有限公司,安農
53,宜蘭縣壯圍鄉美功路一段40巷1號,統一超商股份有限公司,壯美
54,宜蘭縣蘇澳鎮中山路一段66號,統一超商股份有限公司,蘇澳
55,宜蘭縣頭城鎮青雲路三段315號317號,統一超商股份有限公司,蘭雲
56,宜蘭縣三星鄉上將路三段559號,統一超商股份有限公司,上義
57,宜蘭縣南澳鄉南澳村蘇花路二段433號,統一超商股份有限公司,蘇花
58,宜蘭縣宜蘭市中山路一段366號368號370號,統一超商股份有限公司,縣府
59,宜蘭縣宜蘭市中山路五段148號,統一超商股份有限公司,承莊
60,宜蘭縣五結鄉五結路三段258號,統一超商股份有限公司,五興
61,宜蘭縣壯圍鄉大福路三段362號1樓362號2樓之1,統一超商股份有限公司,美宜
62,宜蘭縣宜蘭市中山路三段203號205號207號1樓,統一超商股份有限公司,同慶
63,宜蘭縣三星鄉義德村三星路五段228號,統一超商股份有限公司,三星
64,宜蘭縣三星鄉大隱村三星路二段25鄰13號,統一超商股份有限公司,樸隱
65,宜蘭縣冬山鄉香和村冬山路一段725號,統一超商股份有限公司,詠淇
66,宜蘭縣三星鄉三星路七段208號,統一超商股份有限公司,天送埤
67,宜蘭縣壯圍鄉壯濱路四段373號373之1號1樓,統一超商股份有限公司,永鎮
68,宜蘭縣三星鄉上將路一段381號,統一超商股份有限公司,上將
69,宜蘭縣礁溪鄉礁溪路四段150號156號,統一超商股份有限公司,泉和
70,宜蘭縣蘇澳鎮蘇濱路三段61號63號65號,統一超商股份有限公司,蘇濱
71,宜蘭縣五結鄉五結路二段332號1樓,統一超商股份有限公司,五源
72,宜蘭縣大同鄉南山村泰雅路七段220號,統一超商股份有限公司,南山
73,宜蘭縣宜蘭市民族路461號463號1樓,統一超商股份有限公司,謙和
74,宜蘭縣羅東鎮維揚路131號1樓,統一超商股份有限公司,維芯
75,宜蘭縣羅東鎮中正南路131號1樓2樓部份,統一超商股份有限公司,羅正
76,宜蘭縣宜蘭市大坡路一段111號113號,統一超商股份有限公司,龍坡
77,宜蘭縣員山鄉枕山路39之1號1樓,統一超商股份有限公司,枕山
78,宜蘭縣壯圍鄉美功路二段158號,統一超商股份有限公司,美功
79,宜蘭縣冬山鄉廣興路331號333號,統一超商股份有限公司,廣安
80,宜蘭縣蘇澳鎮蘇濱路二段251號253號思村段596地號,統一超商股份有限公司,九容
81,宜蘭縣羅東鎮公正路136號1樓,統一超商股份有限公司,潤霖
82,宜蘭縣宜蘭市光復路26號,統一超商股份有限公司,宜莊
83,宜蘭縣羅東鎮興東南路188號,統一超商股份有限公司,利陶
84,宜蘭縣頭城鎮青雲路二段230號1樓,統一超商股份有限公司,家燕
85,宜蘭縣頭城鎮中山區青雲路三段238號240號,統一超商股份有限公司,詮祥
86,宜蘭縣宜蘭市校舍路25號,統一超商股份有限公司,校舍
87,宜蘭縣頭城鎮濱海路五段450號452號,統一超商股份有限公司,北濱
88,宜蘭縣頭城鎮三和路375號1樓,統一超商股份有限公司,三崙
89,宜蘭縣礁溪鄉礁溪路五段152號1樓,統一超商股份有限公司,詠富
90,宜蘭縣羅東鎮公正路31號1樓,統一超商股份有限公司,金站
91,宜蘭縣宜蘭市延平路39之8號1樓,統一超商股份有限公司,宜商
92,宜蘭縣羅東鎮站前南路260號262號1樓,統一超商股份有限公司,聖昌
93,宜蘭縣員山鄉同新路286號,統一超商股份有限公司,同樂
94,宜蘭縣宜蘭市東港路一段575號,統一超商股份有限公司,東道
95,宜蘭縣蘇澳鎮永榮里馬賽路151號,統一超商股份有限公司,馬賽
96,宜蘭縣礁溪鄉礁溪路二段49號51號,統一超商股份有限公司,韌性
